"Story","Title","Result","Date","Stability","Duration (s)"
"Validar que los elementos realicen sus acciones correspondientes","Realizar una busqueda de hotel","ERROR","2023-07-18T10:11:09.151-05:00[America/Bogota]","0.0","4.19"
"Validar que los elementos realicen sus acciones correspondientes","Validar que el botón cancelar del login funcione","SUCCESS","2023-07-18T10:16:26.494-05:00[America/Bogota]","0.0","5.29"
