"Story","Title","Result","Date","Stability","Duration (s)"
"Validar que los elementos realicen sus acciones correspondientes","Validar que el botón cancelar del login funcione","SUCCESS","2023-07-18T10:30:40.52-05:00[America/Bogota]","0.0","5.53"
"Validar que los elementos realicen sus acciones correspondientes","Realizar una busqueda de hotel","SUCCESS","2023-07-18T10:49:23.4-05:00[America/Bogota]","0.0","10.0"
